Date,Price,Open,High,Low,Vol.,Change %,,,,,,
27-02-2026,"2,224.90","2,248.00","2,248.00","2,214.30",625.01K,-1.19%,,,,,,
26-02-2026,"2,251.70","2,240.00","2,273.20","2,230.00",765.68K,0.62%,,,Daily,Stdev,0.025856599,
25-02-2026,"2,237.80","2,270.90","2,273.10","2,231.10",517.09K,-0.82%,,,,Variance,0.000668564,
24-02-2026,"2,256.40","2,284.10","2,288.90","2,236.00",729.15K,-1.07%,,,,,,
23-02-2026,"2,280.80","2,370.00","2,370.00","2,271.10",1.14M,-3.36%,,,,Annualised,,
20-02-2026,"2,360.20","2,342.00","2,408.80","2,333.00",805.05K,0.72%,,,,Days,252,
19-02-2026,"2,343.30","2,397.90","2,417.00","2,327.00",579.13K,-1.90%,,,Annual,Variance,0.168478062,Daysx Variance
18-02-2026,"2,388.60","2,375.00","2,401.90","2,342.10",676.72K,0.88%,,,,,,
17-02-2026,"2,367.80","2,357.50","2,380.00","2,351.50",533.33K,0.44%,,,Annualised,Stdev,0.410460792,
16-02-2026,"2,357.50","2,350.00","2,364.90","2,320.40",543.67K,0.31%,,,,,,
13-02-2026,"2,350.20","2,400.00","2,405.00","2,340.00",848.84K,-2.68%,,,,,,
12-02-2026,"2,414.90","2,419.80","2,432.10","2,395.00",625.14K,-0.65%,,,Quarterly,Variance,0.056159354,
11-02-2026,"2,430.60","2,450.00","2,450.30","2,394.30",733.20K,-0.35%,,,,Stdev,0.236979649,
10-02-2026,"2,439.10","2,480.00","2,512.00","2,431.10",932.89K,-1.35%,,,,,,
09-02-2026,"2,472.50","2,429.00","2,498.90","2,419.00",1.30M,2.92%,,,,,,
06-02-2026,"2,402.40","2,415.00","2,438.70","2,356.00",1.50M,0.17%,,,,,,
05-02-2026,"2,398.40","2,430.40","2,430.40","2,350.00",998.66K,-1.34%,,,,,,
04-02-2026,"2,431.00","2,450.00","2,450.20","2,405.90",645.05K,-0.79%,,,,,,
03-02-2026,"2,450.40","2,490.00","2,543.70","2,435.00",973.03K,0.95%,,,,,,
02-02-2026,"2,427.40","2,380.00","2,439.90","2,333.20",1.51M,1.37%,,,,,,
01-02-2026,"2,394.50","2,598.80","2,657.90","2,315.70",4.42M,-6.93%,,,,,,
30-01-2026,"2,572.90","2,506.00","2,586.00","2,482.00",2.20M,2.21%,,,,,,
29-01-2026,"2,517.20","2,531.40","2,536.90","2,465.40",1.33M,0.46%,,,,,,
28-01-2026,"2,505.60","2,350.00","2,514.00","2,350.00",2.21M,7.30%,,,,,,
27-01-2026,"2,335.10","2,316.80","2,350.00","2,283.30",988.18K,1.45%,,,,,,
23-01-2026,"2,301.80","2,380.00","2,380.20","2,294.60",788.23K,-2.84%,,,,,,
22-01-2026,"2,369.00","2,346.00","2,379.00","2,330.10",710.19K,1.61%,,,,,,
21-01-2026,"2,331.40","2,333.00","2,351.70","2,287.10",1.29M,-0.04%,,,,,,
20-01-2026,"2,332.30","2,436.90","2,453.40","2,315.60",1.23M,-4.28%,,,,,,
19-01-2026,"2,436.70","2,431.00","2,474.00","2,422.20",754.83K,-0.42%,,,,,,
16-01-2026,"2,447.00","2,478.90","2,489.90","2,418.00",826.64K,-0.96%,,,,,,
14-01-2026,"2,470.80","2,475.00","2,499.00","2,459.60",888.00K,-0.43%,,,,,,
13-01-2026,"2,481.40","2,535.00","2,547.80","2,450.50",1.14M,-1.58%,,,,,,
12-01-2026,"2,521.20","2,522.00","2,529.10","2,445.00",1.50M,0.83%,,,,,,
09-01-2026,"2,500.50","2,490.00","2,607.00","2,489.00",4.15M,0.81%,,,,,,
08-01-2026,"2,480.40","2,511.40","2,552.00","2,470.00",891.46K,-1.23%,,,,,,
07-01-2026,"2,511.40","2,473.00","2,520.00","2,467.50",768.27K,0.60%,,,,,,
06-01-2026,"2,496.40","2,520.00","2,520.40","2,473.80",582.64K,-0.73%,,,,,,
05-01-2026,"2,514.70","2,495.00","2,544.00","2,494.00",1.16M,0.81%,,,,,,
02-01-2026,"2,494.50","2,480.00","2,511.40","2,473.60",930.77K,0.72%,,,,,,
01-01-2026,"2,476.70","2,500.00","2,504.00","2,455.00",807.67K,-0.54%,,,,,,
31-12-2025,"2,490.20","2,475.00","2,510.00","2,475.00",895.15K,1.13%,,,,,,
30-12-2025,"2,462.40","2,548.00","2,548.00","2,420.00",3.68M,-2.95%,,,,,,
29-12-2025,"2,537.30","2,579.00","2,635.90","2,531.10",2.28M,-0.16%,,,,,,
26-12-2025,"2,541.40","2,540.30","2,628.70","2,526.20",2.59M,0.04%,,,,,,
24-12-2025,"2,540.30","2,515.00","2,563.00","2,511.00",1.10M,1.08%,,,,,,
23-12-2025,"2,513.20","2,550.00","2,572.00","2,506.30",1.12M,-1.24%,,,,,,
