Ticker,Sector,Sub Sector,Sales YoY Growth,NetProfit YoY Growth,Sales TTM 1Yr Growth,NetProfit TTM 1Yr Growth,QoQ Sales Growth,QoQ Profit Growth,3M Return,6M Return,1Yr Return,2Yr Return,PE Ratio,Future PE,TTM PEG,Future PEG,PB Ratio,EV/Sales,EV/EBITDA,Market Cap (Billions),Revenue (Billions),TTM Revenue (Billions),QtrStd,YrStd,Qtr Beta,Yr Beta,_Loss_Profit_YoY,_Loss_Profit_TTM,_Loss_Profit_QoQ
MMM,Industrials,Conglomerates,1.3,-39.7,1.5,-22.1,-1.7,13.2,-4.84,-9.47,4.06,62.91,29.51,22.99,-1.34,-1.04,24.43,3.48,13.96,79.72,25.02,24.95,27.38,26.06,1.0647,0.9563,True,True,False
AOS,Industrials,Specialty Industrial Machinery,-1.9,-10.5,0.3,2.4,3.6,-5.9,-25.64,-11.79,-9.11,-26.12,15.49,15.86,6.45,6.61,4.23,2.2,10.55,7.94,3.81,3.83,28.49,24.75,1.0672,0.7577,True,False,True
ABT,Healthcare,Medical Devices,7.8,-19.7,5.7,-51.3,-2.6,-39.4,-23.9,-31.82,-33.71,-10.82,23.97,11.67,-0.47,-0.23,2.89,3.94,15.14,150.32,45.13,44.33,25.39,23.89,0.4752,0.1984,True,True,True
ABBV,Healthcare,Drug Manufacturers - General,12.4,-46.2,8.6,-1.2,-9.7,-61.7,-5.9,-1.28,21.62,51.14,106.65,105.37,-88.88,-87.81,,7.16,15.04,386.27,62.82,61.16,25.17,23.91,0.4412,0.1753,True,True,True
ACN,Technology,Information Technology Services,8.3,4.0,7.4,5.7,-3.7,-17.5,-12.63,-30.11,-43.09,-37.36,14.62,15.45,2.56,2.71,3.51,1.53,8.64,109.79,72.11,69.67,37.7,34.72,-0.0088,0.7112,False,False,True
ADBE,Technology,Software - Application,12.0,11.1,10.5,28.2,3.3,1.8,-7.45,-25.22,-41.59,-49.45,14.08,18.05,0.5,0.64,8.57,3.98,10.23,97.59,24.45,23.77,39.68,32.21,0.1652,0.5805,False,False,False
AMD,Technology,Semiconductors,37.8,91.2,34.3,164.2,-0.2,-8.5,160.84,135.75,358.37,213.73,163.95,433.16,1.0,2.64,13.1,22.33,112.56,844.8,37.45,34.64,72.9,65.08,3.0789,2.7945,False,False,True
AES,Utilities,Utilities - Diversified,8.7,951.1,-0.4,-45.8,2.5,52.2,4.65,7.56,53.68,-22.64,7.65,4.15,-0.17,-0.09,2.37,3.88,12.91,10.48,12.49,12.23,38.36,43.11,0.1166,0.7588,False,True,False
AFL,Financial Services,Insurance - Life,27.9,3860.0,-9.3,-33.0,-9.9,-26.1,-0.12,3.89,11.89,34.66,13.13,8.8,-0.4,-0.27,1.92,3.51,10.8,57.33,18.11,17.36,15.79,16.78,0.2157,0.1147,False,True,True
A,Healthcare,Diagnostics & Research,7.0,-3.6,6.7,1.1,,-4.1,14.83,-9.44,20.49,-5.48,25.59,25.87,23.26,23.52,5.68,4.89,17.52,38.21,7.06,6.95,44.52,32.98,1.1194,1.1507,True,False,True
APD,Basic Materials,Specialty Chemicals,8.8,,-0.5,-110.3,2.2,4.7,3.26,10.22,6.62,14.75,30.11,-3.1,-0.27,0.03,4.04,6.67,21.44,63.16,12.46,12.04,19.57,24.75,-0.0489,0.3347,False,True,False
ABNB,Consumer Cyclical,Travel Services,17.9,6.0,10.3,-5.2,-3.6,-53.1,0.93,13.22,4.78,-8.26,32.57,30.88,-6.26,-5.94,10.48,5.56,26.86,79.83,12.65,12.24,30.1,29.02,1.4617,1.269,False,True,True
